id,name,brewer,style,abv,rank,av_rating,n_reviews,n_ratings,desc
231851,Fort Road Helles,August Schell Brewing Company,German Helles,5.1%,85,3.83,27,49,"Farmed local, the beer is made with barley grown within 15 miles of the brewery on the historic Fort Road. A German pale lager, Fort Road Helles is moderately malty with a bready character. Hints of herbal spices and a balanced hop profile create an easy drinking beer that is full of flavor."
36565,Scheyern Kloster-Gold Hell,Klosterbrauerei Scheyern,German Helles,5.4%,81,3.55,16,46,
74297,Atwater's Lager,Atwater Brewery,German Helles,5%,79,3.41,16,45,
18780,Hoffmann Helles,Climax Brewing Company,German Helles,4.8%,84,3.75,29,45,
3014,Esser's Best Original,Cross Plains Beer Company,German Helles,5.2%,81,3.51,30,45,
258385,While,Suarez Family Brewery,German Helles,5.3%,89,4.2,11,44,"Unfiltered German style Helles Lager. A clean and malty crisp pale lager beer. A straight interpretation of a classic beer style we hold in high regard. Notes of freshly baked bread, dough, crackers, light honey, hay."
104355,Wittmann Urhell,Brauerei C. Wittmann,German Helles,5.1%,80,3.44,14,44,
89779,Adlerkoenig Urtyp Hell,Der HirschBrau/Privatbrauerei Höss,German Helles,4.7%,81,3.55,12,43,
46041,James Squire Sundown Lager,Malt Shovel Brewery,German Helles,4.4%,77,3.27,26,43,
133941,Lil' Hellion,Brothers Craft Brewing,German Helles,4.9%,83,3.67,10,42,
291168,Saranac F.X. Matt's Haus Lager,Matt Brewing Company / Saranac Brewery,German Helles,4.9%,83,3.7,16,42,This light-bodied lager recipe was the house beer exclusively for Matt family members and Brewery employees to enjoy during and after work. This marks the first time in the company's 129 year history that this treasured family recipe has been made available to the public.
144484,Tivoli Beer,Tivoli Brewing Company,German Helles,5.1%,83,3.74,13,42,"We have brought Tivoli Helles Lager back from the pages of history. Made with all German ingredients and brewed right here in Denver, Tivoli is a true recreation of the beer first made over a century ago."
25052,Lager,The St. George Brewing Company,German Helles,4.5%,84,3.78,36,41,
55879,Zipfer Urtyp,Brauerei Zipf (Brau Union),German Helles,5.4%,78,3.28,12,40,
135796,Beach Blonde,Crystal Lake Brewing,German Helles,5.3%,81,3.54,8,40,
200065,Löwenbrauerei Passau Urtyp Hell,Bayerische Löwenbrauerei,German Helles,4.8%,81,3.51,12,40,
82141,Brew For The Crew,Perennial Artisan Ales,German Helles,5.7%,82,3.63,4,40,"We brew this amber colored autumn lager every year for our great friend Kevin Willman of Farmhaus. Brewed with German Pilsner and German Munich Malt, this light crisp lager has a nice bready backbone with a light cracker finish. Unfiltered and crushable, this beer keeps you going through the fall months."
170810,South End Lager,Queen City Brewery,German Helles,5%,85,3.87,14,39,"Helles (HELL-us) or “light”, the classic beer of Munich has traditionally been one of the most popular beer styles in Bavaria. Prepared under the guidelines of the Reinheitsgebot (the German Beer Purity Law of 1516) with German malt and hops, South End Lager is a gentle, delicate malt-accentuated blond lager, with a refreshing crispness and a pleasing noble hop finish. (ABV 5.0% IBU 23) - Munich Helles"
178796,Helles Lager,Southern Barrel Brewing Co.,German Helles,5.2%,84,3.81,12,38,
10529,Atwater Hell Pale Lager,Atwater Brewery,German Helles,5%,77,3.21,35,37,
113448,Helles,Kansas City Bier Company,German Helles,5.1%,85,3.88,9,36,"Helles” means “light or bright”, which refers to the beer’s pale color. KCBC’s Helles is a golden, Munich-style lager, which is the most popular style in Bavaria. This clean, crisp, medium-bodied lager has a pronounced bread and honey malt background; a clean medium noble hop bitterness; and a smooth refreshing finish. Our Helles is simple, honest and delicious. Just like homemade bread, you can enjoy it every day with almost any meal and never grow tired of it."
6229,Sudwerk Helles,Sudwerk Brewing Company,German Helles,4.9%,84,3.77,23,36,
88713,Chiemseer Hell,AuerBräu AG,German Helles,4.8%,78,3.33,12,36,
239004,Spaten München,Spaten-Franziskaner-Bräu,German Helles,5.2%,82,3.66,12,36,
9399,Lazy Daze Lager,Rochester Mills Beer Co.,German Helles,5.3%,79,3.41,8,36,
3769,Paulaner Original Münchner Urtyp,Paulaner Brauerei GmbH & Co. KG,German Helles,5.5%,82,3.59,15,36,
4579,Eichhof Lager,Brauerei Eichhof,German Helles,4.8%,75,3.03,14,36,
43313,Franconia Lager,Franconia Brewing Company,German Helles,,83,3.71,14,35,
101708,Super Awesome Lager,Austin Beerworks,German Helles,4.5%,81,3.53,3,35,
232375,Lager,Dovetail Brewery,German Helles,4.8%,88,4.14,6,35,"A golden, malty, rich, creamy complex lager with aroma of malt and fresh hops. Easy to drink with a lingering pleasant after-taste and foam that stands like a cloud above the rim of the glass; lacing at every sip."
46335,St. Mungo,West Brewing Company,German Helles,4.9%,81,3.57,13,35,
74124,Monchshof Bayerisch Hell,Kulmbacher Brauerei AG,German Helles,4.9%,78,3.31,10,34,
397913,Memoria,Hill Farmstead Brewery,German Helles,4.7%,91,4.42,5,33,"In October of 2018, we brewed a batch of Marie—our single-decocted, unfiltered, German-style Helles—and lagered a portion of it at 3º Celsius, as we have with Poetica, in our now cherished French oak puncheon. After three months of conditioning, we moved the beer to stainless steel and krausened with fresh-fermenting Mary to provide natural carbonation.  Following more than a month of slow, gentle carbonation, we now proudly pour for you an elevated expression of Marie, one that demonstrates our progressive pursuit for refinement while honoring and ennobling the most inspiring elements of classical brewing tradition.  Soft. Sincere. Simple."
21398,Meckatzer Weiss-Gold,Meckatzer Löwenbräu Benedikt Weiss KG,German Helles,5.2%,83,3.71,25,33,"Despite the name, this is not a wheat beer, it's a lager. ""Weiss"" refers to the brewery's family name."
62433,Konig Ludwig Hell,Kaltenberg International / König Ludwig International GmbH & Co.KG,German Helles,5.1%,82,3.66,8,33,
98103,Mountain Mama Helles,Lone Tree Brewing Company,German Helles,5.3%,81,3.54,13,32,
24463,Brand Up (Urtyp),Brand Bierbrouwerij,German Helles,5.5%,82,3.61,10,32,amed changed from Brand Urtyp
53154,Helga,Matilda Bay Brewing Co.,German Helles,4.7%,75,2.99,27,32,"Helga was inspired by the Munich “Oktoberfest” lagers — also known as Helles lagers. Helga pours to a golden amber hue, slightly deeper than mainstream lagers and is capped with a densely packed white head. 23 IBU"
12435,Ghost Pony Helles Lager,Trap Rock Restaurant & Brewery,German Helles,4.8%,79,3.38,9,31,
181459,Helles,pFriem Family Brewers,German Helles,4.8%,88,4.16,9,31,
317160,Natur Helles,von Trapp Brewing,German Helles,4.9%,87,4.08,11,31,"This specialty release was brewed by JP Williams in honor of the 50th Anniversary of America's first cross country ski touring center, created at the Trapp Family Lodge by Johannes von Trapp. Brewed colder and longer than a typical Helles, this style is known in Europe as a ""Hell Naturtrüb""  20 IBU"
293865,Helles,Dovetail Brewery,German Helles,4.4%,87,4.08,11,31,Formerly Summer Helles
69676,Bavarian Helles,Copper Kettle Brewing Company,German Helles,4.6%,84,3.77,6,30,
179839,Kato Lager Beer,Mankato Brewery,German Helles,5%,84,3.82,14,30,
181905,Farm Table: Helles,Beau's All Natural Brewing Company,German Helles,4.7%,82,3.63,11,30,
9623,Neumarkter Lammsbräu Urstoff,Neumarkter Lammsbräu,German Helles,4.7%,82,3.59,17,30,
81328,Wulle Biere Vollbier Hell,Dinkelacker-Schwabenbraeu AG,German Helles,5%,77,3.18,9,30,
142044,This Town,Carton Brewing Company,German Helles,4.9%,87,4.05,13,30,"In a perfect world each town would have access to a fresh, straightforward lager beer. For our neighbors we built around a typically bready helles malt bill fermented with classic yeasts. Made unique by focusing on the defining bitterness and pleasant citric spice of Opal hops. Drink This Town because you're almost home and deserve a beer from here."
97516,Kichesippi Heller High Water,Kichesippi Beer Co.,German Helles,4.8%,80,3.46,9,30,
37895,Coqui,Old Harbor Brewery,German Helles,4.75%,81,3.57,8,29,
44371,Blonde,Les Trois Mousquetaires,German Helles,5%,80,3.47,16,29,
425373,"Jack's Abby / Mikkeller NYC - Oatis, My Man",Jack's Abby Brewing,German Helles,5.2%,86,4.03,12,29,"Oatis, My Man – brewed in collaboration with Mikkeller NYC Brewing, brings together new and old world traditions. Oatis is a super soft, pillowy lager, delicately hopped with Saaz and Hallertau blanc hops. This approachable, semi-sweet oated Helles is a staff favorite that we are excited to share with you."
